Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Full Link
spotify:track:1ChulFMnwxoD74Me8eX2TU,You Spin Me Round (Like a Record),spotify:artist:5WWSL6rElJeUk3Uc1S2RyD,Dead Or Alive,spotify:album:5AMshCv0RIe2aO4XaQWhp4,Evolution: The Hits,spotify:artist:5WWSL6rElJeUk3Uc1S2RyD,Dead Or Alive,https://i.scdn.co/image/ab67616d0000b273bd0c47e4cfb4ee327e53bc73,1,1,195146,https://p.scdn.co/mp3-preview/a936aaf117b8b9dc912da836fa657585eef7ba97?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,75,GBBBM8400015,https://open.spotify.com/track/1ChulFMnwxoD74Me8eX2TU
spotify:track:07CyrZF9eVd02zzIse7tZA,In Between Days - 2006 Remaster,spotify:artist:7bu3H8JO7d0UbMoVzbo70s,The Cure,spotify:album:4Uq47onfCEj5en94jpHovk,The Head on the Door (Deluxed Edition),spotify:artist:7bu3H8JO7d0UbMoVzbo70s,The Cure,https://i.scdn.co/image/ab67616d0000b27396e854c582f5213d51793cc2,1,1,177986,https://p.scdn.co/mp3-preview/21569cc17cecfcfe601ead64427b705c5b220a0b?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,61,USEE10608886,https://open.spotify.com/track/07CyrZF9eVd02zzIse7tZA
spotify:track:62LJFaYihsdVrrkgUOJC05,Kiss,spotify:artist:5a2EaR3hamoenG9rDuVn8j,Prince,spotify:album:54DjkEN3wdCQgfCTZ9WjdB,Parade - Music from the Motion Picture Under the Cherry Moon,spotify:artist:5a2EaR3hamoenG9rDuVn8j,Prince,https://i.scdn.co/image/ab67616d0000b27323cc0f0a925845a3de4aca38,1,10,226240,https://p.scdn.co/mp3-preview/978b9ddec8011f5d1919bb514338265df35697e3?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,73,USWB19903319,https://open.spotify.com/track/62LJFaYihsdVrrkgUOJC05
spotify:track:7vbncEwhWfQes0OLEUeIxb,How Ya Like Me Now,spotify:artist:2RE8NwNxsOyuNZDD0jRxHP,Kool Moe Dee,spotify:album:0V3b2bczRgZ4qrGq1L5BVI,How Ya Like Me Now (Expanded Edition),spotify:artist:2RE8NwNxsOyuNZDD0jRxHP,Kool Moe Dee,https://i.scdn.co/image/ab67616d0000b27339471023171d93a19f1cc814,1,1,337333,https://p.scdn.co/mp3-preview/e519038849f250f2f601174ebd9bea4987b270d4?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,42,USJI10300472,https://open.spotify.com/track/7vbncEwhWfQes0OLEUeIxb
spotify:track:7snQQk1zcKl8gZ92AnueZW,Sweet Child O' Mine,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,spotify:album:28yHV3Gdg30AiB8h8em1eW,Appetite For Destruction,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,https://i.scdn.co/image/ab67616d0000b27321ebf49b3292c3f0f575f0f5,1,9,356066,https://p.scdn.co/mp3-preview/92ac4ba7bc8ed36373b795b5b9ffe7e37468cc4f?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,77,USGF18714809,https://open.spotify.com/track/7snQQk1zcKl8gZ92AnueZW
spotify:track:0s6e7ZafqOAUBDoQYGmxrc,Every Little Step,spotify:artist:62sPt3fswraiEPnKQpAbdE,Bobby Brown,spotify:album:44w4sVYJVQzhH2dN3IwyIK,Don't Be Cruel,spotify:artist:62sPt3fswraiEPnKQpAbdE,Bobby Brown,https://i.scdn.co/image/ab67616d0000b27353cf43170dc29787984cf6b4,1,6,237240,https://p.scdn.co/mp3-preview/5f81400298b14ac8d1fa986c7e0e81e36c711418?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,62,USMC10000859,https://open.spotify.com/track/0s6e7ZafqOAUBDoQYGmxrc
spotify:track:51Gkc1TxvyQ9K8y0pQRmQM,Been Caught Stealing,spotify:artist:02NfyD6AlLA12crYzw5YcR,Jane's Addiction,spotify:album:7acrrQejzV4ybWWTM8TmPf,Ritual De Lo Habitual,spotify:artist:02NfyD6AlLA12crYzw5YcR,Jane's Addiction,https://i.scdn.co/image/ab67616d0000b273da80002f2d1a8d827c6aea54,1,5,213293,https://p.scdn.co/mp3-preview/f407c5775fc89dcb96696836c50e282b37712a39?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,55,USWB10902573,https://open.spotify.com/track/51Gkc1TxvyQ9K8y0pQRmQM
spotify:track:5r5uZvXHbE4X6CdhnSATtX,Can't Truss It,spotify:artist:6Mo9PoU6svvhgEum7wh2Nd,Public Enemy,spotify:album:2UqKqZofb9pdapHk4HzRUo,Apocalypse 91… The Enemy Strikes Black,spotify:artist:6Mo9PoU6svvhgEum7wh2Nd,Public Enemy,https://i.scdn.co/image/ab67616d0000b273c461ace44054d79bdd287c4e,1,4,321573,https://p.scdn.co/mp3-preview/56d08853e9d8712fd47af0cdd1ad6faae6129f7c?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,44,USDJ29100004,https://open.spotify.com/track/5r5uZvXHbE4X6CdhnSATtX
spotify:track:6BRyzEf1HmV8Wn4RLsaGEg,Kill Your Television,spotify:artist:5AX02tEFl85gnqkvzqeltP,Ned's Atomic Dustbin,spotify:album:3jkqrE3ycfEY8088IZXcZZ,God Fodder,spotify:artist:5AX02tEFl85gnqkvzqeltP,Ned's Atomic Dustbin,https://i.scdn.co/image/ab67616d0000b273f7e7bfd6274ffc0a98aea41b,1,1,178226,https://p.scdn.co/mp3-preview/1f66ae422c6a1ba3a68d90c0e0a3255b66888bb0?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,30,GBBBN0009271,https://open.spotify.com/track/6BRyzEf1HmV8Wn4RLsaGEg
spotify:track:5lHgBqh9VwAAzQma55gHRY,Elderly Woman Behind the Counter in a Small Town - Remastered,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,spotify:album:3BSOiAas8BpJOii3kCPyjV,Vs.,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,https://i.scdn.co/image/ab67616d0000b273777344aba9d5b5785b4593a5,1,10,196186,https://p.scdn.co/mp3-preview/8a7c7626c77cac8841ff575c54428d8235ccc781?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,65,USSM11100221,https://open.spotify.com/track/5lHgBqh9VwAAzQma55gHRY
